Month,Genre,MPAA rating,Opening Screens,Total Domestic Gross,First Weekend,Best actors,Top dollar actors,Sequel,Summer release,Holiday release,Christmas release,Ebert review,Oscar nominations,Oscars
July,Drama,R,2463,216.119,30.5761,1,1,0,1,0,0,4,3,1
July,Action,PG-13,3127,201.573,36.09,0,1,0,1,1,0,1,0,0
July,Comedy,R,2186,176.483,13.7406,0,0,0,1,0,0,3,0,0
November,Childrens,G,2686,162.792,33.2581,1,0,0,0,1,0,4,0,0
November,Comedy,PG-13,2664,161.487,39.4141,1,1,0,0,0,0,1,0,0
June,Comedy,PG-13,2777,144.156,29.0143,0,1,0,1,0,0,3,0,0
September,Action,PG-13,2638,141.153,33.0018,0,0,0,0,0,0,3,0,0
May,Action,PG-13,3156,140.459,41.1524,2,0,0,0,0,0,3,0,0
January,Drama,R,1787,138.339,10.2615,1,1,0,0,0,0,3,5,1
May,Action,PG-13,3310,136.023,55.727,0,0,0,0,1,0,2,0,0
December,Comedy,PG-13,2712,135.014,25.2623,1,1,0,0,1,1,2,0,0
July,Action,R,3117,129.734,34.0481,0,3,1,1,0,0,2,0,0
June,Comedy,PG,2315,125.603,31.5421,1,1,0,1,0,0,4,0,0
June,Childrens,G,2888,120.618,22.7451,0,1,0,1,0,0,4,0,0
December,Comedy,PG,2691,115.731,18.4267,1,1,0,0,1,1,3,0,0
November,Action,R,2393,111.544,20.0386,0,0,0,0,0,0,3,0,0
December,Childrens,PG,3118,101.217,14.5243,2,2,0,0,1,1,4,0,0
November,Childrens,G,2782,100.491,27.3215,0,1,0,0,0,0,2,0,0
July,Action,PG-13,2515,93.771,22.5259,1,0,0,1,0,0,3,0,0
December,Drama,PG-13,2358,91.03,19.1424,3,1,0,0,1,1,2,0,0
October,Comedy,PG,2449,90.646,17.1952,1,0,0,0,0,0,4,0,0
June,SF,PG-13,2629,83.892,30.1388,0,0,0,1,0,0,3,0,0
February,Comedy,PG-13,2821,80.224,21.9171,0,1,0,0,1,0,1,0,0
April,Drama,PG-13,2212,78.745,15.369,1,1,0,0,0,0,3,0,0
May,Drama,PG-13,2039,75.37,13.6855,0,0,0,0,0,0,3,0,0
June,Action,PG-13,2550,74.292,16.4853,0,1,0,1,0,0,3,0,0
December,SF,PG,2620,70.117,22.0528,0,0,1,0,0,0,2,0,0
August,Action,R,2322,70.001,17.0739,0,0,0,1,0,0,3,0,0
April,SF,PG-13,3306,69.102,20.1549,1,0,0,0,0,0,2,0,0
June,Thriller,R,2845,67.629,16.6157,0,0,0,1,0,0,3,0,0
August,Childrens,PG,2247,66.304,11.1485,0,0,0,1,0,0,3,0,0
August,Drama,PG,1767,65.703,8.5269,0,1,0,1,0,0,3,0,0
May,Drama,PG-13,2367,60.033,14.2105,1,1,0,0,0,0,2,0,0
March,Action,PG-13,2817,57.823,16.864,1,1,1,0,0,0,3,0,0
March,Action,PG-13,3101,56.876,17.2715,1,1,0,0,0,0,3,0,0
August,Action,R,2713,55.585,16.3104,1,0,0,1,0,0,1,0,0
October,Drama,PG-13,2526,55.35,15.8336,1,1,0,0,0,0,4,0,0
August,Horror,R,2607,55.004,16.1877,0,0,0,1,0,0,2,0,0
July,Action,PG-13,2539,53.955,14.0476,0,1,0,1,0,0,3,0,0
December,Childrens,PG,2502,50.628,10.602,0,1,0,0,1,1,3,0,0
October,Drama,PG-13,2652,46.611,13.1047,0,1,0,0,0,0,2,0,0
November,Drama,PG-13,2503,44.606,15.018,1,0,0,0,0,0,3,0,0
August,Action,R,2436,44.484,10.2188,2,0,0,1,0,0,4,0,0
January,Comedy,R,1665,43.022,7.7781,2,0,0,0,0,0,4,0,0
